fila,codigo_a,item_b,codigo_a_norm,item_b_norm,clave_match,tipo_fila,tipo_ENE,tipo_FEB,formula_ENE,formula_FEB,codigo_a_repetido,codigo_a_repeticiones
84,51959515,Compra Equipos de computo y comunicación,51959515,COMPRA EQUIPOS DE COMPUTO Y COMUNICACION,84|51959515|COMPRA EQUIPOS DE COMPUTO Y COMUNICACION,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$160,='[10]Hoja 1'!$C$162,NO,1
85,51959504,Cuota de Apoyo y Sostenimiento (SENA),51959504,CUOTA DE APOYO Y SOSTENIMIENTO (SENA),85|51959504|CUOTA DE APOYO Y SOSTENIMIENTO (SENA),detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$155,='[10]Hoja 1'!$C$157,NO,1
86,,Menaje - Basculas-Canastillas-Estibas,,MENAJE - BASCULAS-CANASTILLAS-ESTIBAS,86||MENAJE - BASCULAS-CANASTILLAS-ESTIBAS,detalle_sin_codigo_o_titulo,blank,blank,,,,
87,51959518,Compra Mercado IVH,51959518,COMPRA MERCADO IVH,87|51959518|COMPRA MERCADO IVH,detalle_con_codigo,blank,formula,,='[10]Hoja 1'!$C$164,NO,1
88,51959517,Convenios medicos - EMI,51959517,CONVENIOS MEDICOS - EMI,88|51959517|CONVENIOS MEDICOS - EMI,detalle_con_codigo,formula,formula,='[9]Hoja 1'!$C$161,='[10]Hoja 1'!$C$163,NO,1
89,,CASINO,,CASINO,89||CASINO,detalle_sin_codigo_o_titulo,formula,formula,=[21]CASINO!$C$144,=[21]CASINO!$F$144,,
90,,OTROS GASTOS DIVERSOS,,OTROS GASTOS DIVERSOS,90||OTROS GASTOS DIVERSOS,subtotal_o_total,formula,formula,=SUM(C91:C95),=SUM(D91:D95),,
91,,Demandas por Incumplimiento de Contrato,,DEMANDAS POR INCUMPLIMIENTO DE CONTRATO,91||DEMANDAS POR INCUMPLIMIENTO DE CONTRATO,detalle_sin_codigo_o_titulo,blank,blank,,,,
92,,Indemnizaciones,,INDEMNIZACIONES,92||INDEMNIZACIONES,detalle_sin_codigo_o_titulo,blank,blank,,,,
93,,"Multas, Sanciones y Litigios",,"MULTAS, SANCIONES Y LITIGIOS","93||MULTAS, SANCIONES Y LITIGIOS",detalle_sin_codigo_o_titulo,formula,formula,='[9]Hoja 1'!$C$180,='[10]Hoja 1'!$C$183,,
